//material types for Day of Defeat
//
// Created by Masako on December 20, 2002
// Last Modified : 12/20/02 by Masako
//
//  'C' concrete (Concrete is the default)
//  'M' metal
//  'G' Grate/ventilation (Removed V for Ventilation)
//  'D' dirt
//  'T' tile
//  'W' wood
//  'P' grass
//  'Y' glass
//  'S' water
//  'R' rock
//  'A' sand
//  'L' gravel
//  'E' leaves, bushes 
//  'N' snow
//  'F' flesh (Used in anzio meat rack)
//  'B' brick 
//  'Z' stucco 
//  'H' heavy metal ( dod_charlie, hedgehogs )
//  'K' sky

//Mugsy's test textures
W {KL_FLAGIN1B
W {KL_FLAGIN2B
W {KL_FRESHPOOP1B
M {KL_MET0LGAET1
M {KL_REBARS
T {KL_ROOFBROKE
M {KL_WWWIRECOM
W {KLK_ROOFBROKE3
W {LADDER_OLD
M {LADDER2
M {LADDER3B
M {LAMPHANGER
M {M_FUNKYLADDER
W {M_HEADBOARD1
W {M_LATTICE
M {M_RAILING1
T {M_SEXYROOF_2
W {M_SEXYROOF_3
M {M_ZALECFNC1
M {M_ZALECROSS
W {NAZI_CRATE_FD
E {NM_LEAVES4
M {OLD-LADDER4A
E {OUITZ_FLOWERS1
E {OUITZ_HEDGE1B5
E {OUT_NET1
E {PI_IVY
M {PI_RAILING
M {RAZOR1
M {RING1
W {ROOF1
M {RUSTYRAIL
M {RUSTYRUNGS
M {TEL_RAIL01
W {TEL-THING01
W {TEL-WIN01
M {TENSION5
M {TENSION6
T {TETTO_ROTTO1
T {TETTO_ROTTO2
E {VINE1
E {WFLASH2_HEDGE
E {WFLASH2_TREE
E {WFLASH2_TREE2
E {WFLASH2_TREE3
Y {WINDOW-589234
M {WIZZ_HOLDER
M {WIZZ_HOLDER2
M {WIZZ_MSIGN
W {WIZZ_SCHRBOURG
W {WIZZ_SFALAISE
W {WOODGATE
W {WOODRAIL1
E {X_BUSH1A
E {X_BUSH1B
E {X_BUSH2
W {X_FENCE2
M {X_GATE1
E {X_HEDGE4
E {X_HEDGE4B
W {X_ROADSIGN1
W {X_ROADSIGN2
W {X_ROADSIGN3
W {X_ROADSIGN4
W {X_ROADSIGN5
E {X_TREE18A
E {X_TREE18B
E {X_TREELINE_FD
E {X_TREELINE3A
E {X_TREELINE3B
E {X_TREELINE5A_S
E {X_TREELINE6A
M {X_TRENCHBARB
M {X_WIRE3
Y {X_WWINDOW
Y {X_WWINDOW1
Y {X_WWINDOW1B
Y {X_WWINDOW1C
W {ZALEC2SIGN
Y ~FD_LIGHT
Y ~FD_LIGHT_RED
Y ~KL_IDWIN1
Y +0~GYMLIGHT
Y +0~LIGHT6A
M +0~METALSTCH2
Y +0~TNNL_LGT1
Y +0~TNNL_LGT4
M +0~WHITE
M +0EXIT
B -0_BRIK3
M -0FIFTIES_CASE
B -0K_BRICK9
D -0OUT_DIRT2
B -2K_BRICK9
M AIR_C1
R ARC_ROCKCLIFF
R ARC_ROCKCLIFF2
R AVABASE1
B AVABASE2
R AVABASE3
R AVABIGARCH
R AVABIGARCHSIDE
W AVABOOKCASE
W AVABROKENFLR1
W AVABROKENFLR2
R AVABROKENWALL1
B AVABROKENWALL2
W AVACEIL1
W AVACEIL2
Z AVACEIL3
W AVACEILING
W AVACEILINGS
W AVACEILINGW
R AVACHURCHARCH1
R AVACHURCHARCH2
R AVACHURCHARCH3
W AVACHURCHDOOR
W AVACHURCHDOORI
R AVACHURCHFRONT
R AVACHURCHFRONTB
R AVACHURCHPILBRK
R AVACHURCHPILLAR
R AVACHURCHROOFSI
R AVACHURCHSIDE
R AVACHURCHSIDE2
R AVACHURCHSIDE2I
R AVACHURCHSIDEI
R AVACHURCHWALL
W AVADOORFRAME
W AVADOORTOP
W AVAFLOOR1
W AVAFLOOR2
W AVAFLOORW
W AVAINWALL_FD
W AVAINWALL1
W AVAINWALL1D
W AVAINWALL1W
W AVAINWALL2
W AVAINWALL2D
W AVAINWALL2W
W AVAINWALL3
W AVAINWALL3D
W AVAINWALL3W
Z AVAINWALL4
W AVAINWALL4D
W AVAINWALL4W
Z AVAOUTWALL1
Z AVAOUTWALL1W
Z AVAOUTWALL1WB
Z AVAOUTWALL1WO
Z AVAOUTWALL2
Z AVAOUTWALL2W
Z AVAOUTWALL2WO
Z AVAOUTWALL3
Z AVAOUTWALL3W
Z AVAOUTWALL3WO
B AVAOUTWALL4
B AVAOUTWALL4W
B AVAOUTWALL5
B AVAOUTWALL5W
B AVAOUTWALL5WO
R AVARAILING1
R AVAROAD
T AVAROOFFRONT
T AVAROOFSIDE
T AVAROOFTILE1
T AVAROOFTILE2
T AVAROOFTILE3
W AVASTAIRF1
W AVASTAIRF2
R AVASTAIRF3
W AVASTAIRT1
W AVASTAIRT2
R AVASTAIRT3
R AVASTAIRTRIM1
W AVAWINDFRAME1
Y AVAWINDOW1
W AVAWINDOW2
W AVAWINDOW3
W AVAWINDOW4
W AVAWINDOW5
W AVAWINDOW6
M AWNINGF
W AWNINGS
W AWNINGT
M BABTECH_BORDL52
M BABTECH_DR4A
W BAKERY
W BAMSECO
A BEACH
W BIDO_BARBER
R BIDO_BRIDGE2
T BIDO_ROOF1
W BIDO_SIGN0
W BIDO_SIGN1
W BIDO_SIGN2
W BIDO_SIGN3
W BIDO_SIGN4
W BIDO_SIGN5
W BIDO_SIGN6
W BIDO_SIGN7
Z BIDO_WALL1
Z BIDO_WALL10
Z BIDO_WALL13
Z BIDO_WALL14
R BIDO_WALL15
B BIDO_WALL16
B BIDO_WALL17
B BIDO_WALL19
Z BIDO_WALL2
W BIDO_WALL20
B BIDO_WALL3
Z BIDO_WALL5
Z BIDO_WALL6
Z BIDO_WALL7
Z BIDO_WALL8
B BIDO_WALL9
M BILLY_BASE
A BLEND4
A BLEND5
W BLISS_ROPE
L BROKEN2
A C0W_SANDTRENCH
D C0WTRENCH
B C2_BRICKTRIM3B
B C2_BRIKTRIM2B
R C2_CRATER
M C2_FD_REDUCED
Y C2_SIDELIGHT
W C2_WOOD
M C2A3RUSTDOOR1
W C2A4_STASIS
W CAFE
A CANYONSSAND1
B CASTFLT
B CASTTOWER
B CASTWIND
B CASTWLL
W CEILING
W CH_TRIM
R CLIFF2
R COB1
R COLUM
B CORTILE_ARCO
B CORTILE_MURO
M CR_MATHVYMETAL
E CR_MATLEAF
M CR_MATMETAL
A CR_MATSAND
W CR_MATWOOD
W CRATE_WOOD
W CRATE_WOOD3
W CRATE_WOOD4
Z CSTRIKE_FJ2DK
P CUGROUNDI
W CUPICTC
D CURDA
B CUWLLF
B CUWLLJ
B CXBRICKF_3
B CXBRICKI
W CXCRPTB
W CXWLLEPNL
W CXWLLETRIM
W CXWLLF
W CXWLLG
A DL_SAND1
B DMGWALL
W DOD_GLIDER
R DONNER1
B DONTCRASH7
W DOOR1B
W DOOR2A
W DOOR2D
W DOOR2E
W DOOR3A
W DOOR4A
W DOOR5A
M DRKMTLT_BORD11
W DRKMTLT_BORD12
M DRKMTLT_BORD14
G DUCT_VNT2
G DUCT_WALL02
G DUCT_WALL04
T E_FLOOR7
W EASTCRATESM
W EASTDOOR1
W EASTDOOR2
W EASTWNDWN1B
W EASTWOOD01
W EASTWOOD03
W EASTWOOD04
W FD_BOX_TOP
W FD_BOX_TOP_64
W FD_BOX1_SIDE
W FD_BOX2_SIDE
W FD_BOX2_TOP
W FD_BOX2_TOP_64
W FD_DOOR
W FD_GALLAND
W FD_HEINZBAR
Z FD_IRWALL4
M FD_JESUS
Z FD_KAMI3
Z FD_KAMI4
Z FD_KAMI5
W FD_KAMI9_DOOR
H FD_ME262A1
H FD_ME262A2
H FD_ME262A4
D FD_MS_DIRT
P FD_PATH4
B FD_PATH6
W FD_PIC_FACTORY
M FD_RADIO2
T FD_ROOF_TRIM2
T FD_ROOF_TRIM3
W FD_STAIRTOP
W FD_STEINHOFF
T FD_TK_CLAYROOF
W FD_TRENCH
Z FD_VALVE_WALL1
Z FD_WALL10K
Z FD_WALL12K
Z FD_WALL13K
B FD_WALL4
B FD_WALL5
B FD_WALL8
Z FD_WALL9B
W FENCH
W FIFTIES_DR6A2
M FIFTIES_DSK5A
N FISHBOXTOP
B FLASH2_BOTTOM1
B FLASH2_BOTTOM3
R FLASH2_COBBLE
P FLASH2_GROUND1
P FLASH2_GROUND2
P FLASH2_GROUND3
L FLASH2_ROAD
L FLASH2_RUBBLE
R FLASH2_SIDEWALK
P FOR_GRASS_BLEND
P FORGRASS
E FORTREE4
Y FROSTSLICK
D FUNKYCRATER
R FUNKYGROUND
M GENERIC_113A
M GENERIC034
M GENERIC034A
M GENERIC105C
M GENERIC107B
M GENERIC108A
M GENERIC121B
M GENERIC95C
M GENERIC98C
M GENLOCKER
Y GLASS
Y GLASS_BRIGHT
Y GLASS_MED
Y GLASSBLUE2
W GOODS_SIGN
W HELVAN1
W HLITALIA_DOOR
T I_ROOF_TILE3
B I_WALL_BASE5
W IMAGE1
W IN_FLOOR3
M IN_METAL_RUSTY1
Z INSIDEWALL
B IR_13REMAKE
B IR_6BREMAKE
B IR_6BREMAKE2
B IR_BADBOY
B IR_BADBOY603
B IR_BEWITHYOU
R IR_CHURCHDOWN
B IR_CURNZYES
B IR_DONTCOME
B IR_EASYILY
B IR_GOODS
R IR_HAVEN
B IR_IDID
B IR_ITAGAIN
B IR_LUV2
B IR_LUV4
W IR_MAY
B IR_MEUBELS
B IR_MIGHTYWALL1
B IR_MIGHTYWALL2
B IR_NBRICK1
L IR_NBROKEN1
R IR_NCOBBLEL
Z IR_NCRUSTY1
Z IR_NCRUSTY2
Z IR_NCRUSTY3
B IR_NREDISH1
B IR_NREDISH2
W IR_NROOFZ2
W IR_NTUDOR2
Z IR_NTUT1
Z IR_NTUT2
Z IR_NWALLZ1
W IR_NWOOD1
B IR_OOPS
H IR_PIPEM8
B IR_REMAKE2001
B IR_REMAKE2002
R IR_ROCK
T IR_ROOFLESS
B IR_ROTWALL
B IR_SAWYA
W IR_SCRATCHY
Y IR_SHOP
B IR_SHOP_R3
B IR_SHOP_R4
B IR_SHOP2
B IR_SHOP3
B IR_SHOPTOP
B IR_SUMHOUSE2
B IR_SUMREMAKE121
B IR_SUMWALL2
W IR_SUPPORT
B IR_TEHFORCE
R IR_THERIVER
B IR_TILEGOOD
B IR_WALL4
B IR_WALL5
W IR_WOOD43
B IR_WORDS
B IR_YOYO
B ITAL_WALL1C
Z ITAL_WALL4B
W IZ_LONGBOARD
L IZUNORUBBLE3
M K_BARREL2
M K_BARREL3
M K_BARREL3B
M K_BEAM1
W K_BOOKS1
Z K_BOTTOM4
B K_BRICK13B
B K_BRICK24
B K_BRICK47
B K_BRICK9B
M K_BRIDGE1
B K_BUILDING10
Z K_BUILDING15BD
Z K_BUILDING19
Z K_BUILDING6B
B K_CASTLE4
B K_CASTLE5B
B K_CHIMNEY3
B K_CHIMNEY5
R K_CHURCH1
R K_CHURCH3B
R K_CHURCH3F
R K_COBBLE11B
R K_COBBLE11C
W K_CRATE1
W K_CRATE75
D K_DIRT3
W K_DOOR11
W K_DOOR12B
W K_DOOR12C
W K_DOOR12D
W K_DOOR15
W K_DOOR15B
W K_DOOR17
W K_DOOR1C2
M K_DOOR2
W K_DOOR20C
W K_DOOR21
W K_DOOR6
W K_DOOR9
W K_DOORWTF
Z K_FRENCHH1
Z K_FRENCHH2B
Z K_FRENCHH2C
Y K_GLASS5
P K_GRASS7B
L K_GRAVEL3B2
L K_GRAVEL4
L K_GRAVEL5B
W K_JAM1
M K_METAL1
M K_METAL3B2
R K_ROAD1
R K_ROAD3B
T K_ROOF11
W K_ROOF15B2
W K_ROPE1
W K_ROPE1C
R K_RUBBLE1
L K_RUBBLE2
L K_RUBBLE2B
L K_RUBBLE3
L K_RUBBLE5A
L K_RUBBLE7
L K_RUBBLE8
A K_SAND2
A K_SANDBAG1B
A K_SANDBAG2
A K_SANDBAG2B
W K_SHUDDER3
W K_SHUTTERZ
W K_SIGN1
R K_STONE12B
R K_STONE13
R K_STONE13B-2
B K_STONE1B
R K_STONE4
R K_STONE6
B K_STONEW1
B K_STONEW4B
R K_STONEW5C
B K_STONEWALL1A
Z K_STUCCO10
Z K_STUCCO10B
Z K_STUCCO10B2
Z K_STUCCO10B3
W K_STUCCO2B
Z K_STUCCO8B
Z K_STUCCO8D
Z K_STUCCO9
Z K_STUCCO9C
Z K_STUCKO8
W K_TRENCHWOOD1
M K_VAT1A
Z K_WALL12B
W K_WALL13
W K_WALL14
Z K_WALL29B
B K_WALL33
B K_WALL33B
Z K_WALL35
Z K_WALL35B
Z K_WALL35C
Z K_WALL38
Z K_WALL40B
Z K_WALL40BB
Z K_WALL42
Z K_WALL47
R K_WALL4B
Z K_WALL4C
B K_WALL54
B K_WALL55
W K_WALL7
W K_WALLPAPER1
W K_WALLPAPER2
W K_WALLPAPER3
S K_WATER2B
Y K_WINDOW11B
Y K_WINDOW5
Y K_WINDOW6
W K_WOOD1
W K_WOOD10
W K_WOOD10B
W K_WOOD11
W K_WOOD11B
W K_WOOD1A
W K_WOOD3
W K_WOOD4
W K_WOOD5
W K_WOOD7B
W K_WOOD8
W K_WOOD9
W K_WOOD9B
W K_WOOD9C
W K_WOODB1
W K_WOODWINDOW1
B K2_BUILDING16
W K2_CEILING1B
W K2_CEILING2
W K2_CRATE1
W K2_DOOR3
W K2_FENCE1
T K2_SLATE1
T K2_SLATE1B
T K2_SLATE1C
T K2_SLATE2
T K2_SLATE3
B K2_STONEWALL1
Z K2_STUCCOFUZZ2
Z K2_WALL3
W K2_WOOD1
B K2X_BOTTOM1A
B K2X_BOTTOM1B
W K2X_WOOD
Z KFD-INSIDE2
W KL_123CRATE1
R KL_128
B KL_2CHURCH
B KL_2CHURCH_INS
W KL_BEWKS
W KL_BEWKSSIDE
M KL_BLEEPCO1B
M KL_BLEEPCO2B
W KL_BLOODYWUD1
W KL_BLOODYWUD2
Z KL_BOULANGERIE1
Z KL_BOULANGERIE2
B KL_BRICK_AHH1
B KL_BRICK_AHH2
B KL_BRICKAZ1
B KL_BRICKAZ2
W KL_CARPET
R KL_CBLROAD
T KL_CHTILES1
M KL_CORRUGATED1
M KL_CORRUGATED3
M KL_CORRUGED4
R KL_CRACKWALL3C1
R KL_CRACKWALL3C2
L KL_CRESIDE
L KL_CTRYLANE1B
B KL_CURRY128
B KL_CURRYSAUCE
B KL_CURRYSAUCE2B
Z KL_CURRYTEST
D KL_DEMOGR1
D KL_DEMOGR3C2
D KL_DEMOGR3C3
W KL_DOOR
W KL_DOOR_SNO
W KL_DOOR21
Z KL_EINLUKA1
Z KL_EINLUKA4
C KL_FLOOGRIND1D
C KL_FLOOGRIND1E
R KL_FOUNTAIN
B KL_FRESHPOOP
W KL_FSIGN
W KL_FSIGN2A
W KL_FSIGN2B
W KL_FSIGN2C
W KL_FSIGN2D
W KL_FSIGN2E
W KL_FSIGN2F
W KL_FSIGN2H
Z KL_FUNNYHOUSE
Z KL_FUNNYHOUSE-X
B KL_FURREHNESS
P KL_GRASS2_2
P KL_GRASSROADC3C
Z KL_HAUS2_WOOD1
Z KL_HAUS2_WOOD2W
Z KL_HAUS4
Z KL_HAUS4B
Z KL_KLEIN2
Z KL_KLEIN3
Y KL_LAMP
R KL_LEETCOBBLE2B
M KL_LIGHTH1
M KL_LIGHTH2
Y KL_LIGHTTOP
E KL_MCHURCHIVY1
E KL_MCHURCHIVYW
C KL_MMMPIE2
W KL_MOCARPET2
W KL_MOCARPET3
M KL_MTLGATE2
L KL_NOOCRATER
W KL_NOOPAPER1
Z KL_NOOPAPER5
W KL_NOOWP1
W KL_NOOWP2
W KL_NOSMOKES
Z KL_PETMEPLEASE
Z KL_PETMEPLEASE1
Z KL_PETMEPLZ4
R KL_PIZZARULES
Z KL_PLAIN2
B KL_RCHURCH1
R KL_RCOBBLE1B
L KL_RCRATER
W KL_REDNGREY1
W KL_REWF2
W KL_REWF2C
Z KL_RHOUSE1C1
Z KL_RHOUSE2C3
Z KL_RHOUSE3_1
Z KL_RHOUSE4D
B KL_ROOF
B KL_ROOFSIDE
L KL_RUBBLE
W KL_SGN_HOTEL
W KL_SGN_PLACE
B KL_SIDEWALK
T KL_SNOWROOOF1
E KL_THATCHRF1C
E KL_THATCHRF1C2
Z KL_TUDOR3
W KL_WALLPAPAR1
Z KL_WERD1B
W KL_WEWD1C128
W KL_WEWDCEIL
B KL_WINS
B KL_WINS2
W KL_WOOD
W KL_WOOD43
B KL_WTF1C
B KL_WTF2C
W KL_WUTGAET
Z KL_YELLO1
W KL_YELLOW2_B1
B KLEIN_WINS
B KLEIN_WINS2
M KLIR_STRLIGHT
L KLIR_TILE_RUB3
W KOMMIE_SIGN1
W KOMMIE_SIGN2
B KPBRICK8
W KX_CRATE1B2
W KX_CRATE2B2
W KX_CRATECANVAS2
B KX_WALL33_EXTRA
Z KZ_STUCCO_FUZZ2
M LAB1_BRD3C
M LAB1_COMP3F
M LAB1_GAD2B
M LAB1_GEAR3
Y LAMPBRITE
Y LANTERN_BOT
Y LANTERN_OFF
Y LANTERN_ON
M LC_LATODX
M LC_LATOSX
M LC_RAMPA
M LC1
M LC2
M LC-INTERNO
W LIMONI
R M_ARCH4B
Z M_ARCH4C
B M_BANKWALL2
B M_BANKWALL3
M M_BARCNTLR
W M_BARTOP
R M_BASE
Z M_BUILDING
B M_BUILDING1
B M_BUILDING10
B M_BUILDING26
Z M_BUILDING27
Z M_BUILDING3
A M_CHARLIEBLUFF2
P M_CHARLIEGRASS1
P M_CHARLIEGRASSI
A M_CHARLIESAND1
A M_CHARLIESANDIM
T M_FLOOR1
W M_FLOOR12
B M_GENERICBUIL1
Z M_HOUSESET1
Z M_HOUSESET3
Z M_KALTHAUS1
Z M_KALTHAUS2
Z M_KALTHAUS3
Z M_KALTHAUS4
Z M_KALTREST1
Z M_KALTRESTBASE1
N M_KALTROAD1
N M_KALTSNOW1
Z M_KBASE1B
Z M_KBASE2
Z M_KBASE3
Z M_PAPER1
Z M_PAPER2
Z M_PAPER4
R M_PILLAR
Z M_PKARB
Z M_PLASTER
W M_POSTAR1
W M_RACK2
W M_RACK3
M M_RAILING
Z M_REDOTWO
Z M_REST1
Z M_REST2
B M_REST2B
B M_ROUGHWALLC
L M_RUBBLE
L M_RUBBLE3
B M_RUGGEDWALLB
L M_SANDYCRETE
B M_SCORCHED
B M_SCORCHED3
T M_SEXYROOF_1
W M_SEXYROOF_4
T M_SHAZLE1
T M_SHAZLE2
Z M_STAND1
Z M_STAND2
B M_STONESPORK_3
B M_STONESPORK_4
B M_TESTBRICK
Z M_TESTTESTTEST
B M_THING1
Z M_TRIM
Z M_TRIM1
Z M_TRIMNEWBURN1
Z M_WALL11
Z M_WALLPLASTER12
R M_WALLTHING
Z M_WHITEWASH2
Y M_WINDOW1
Y M_WINDOW2
W M_WOODPLANKS
B M_ZALECBRK1
B M_ZALECBRK2
B M_ZALECBRK3
B M_ZALECBRK4
N M_ZALECCOB3
N M_ZALECSNOW1
N M_ZALECSNOW2
N M_ZALECSNOW3
B M_ZALHOUZ1
B M_ZALHOUZ2
B M_ZALHOUZ3
B M_ZBEAMZ2
B M_ZBEAMZ3
N M_ZCOB3
W M_ZCRKD1
W M_ZDORZY1
M M_ZMOONFACE
Z M_ZPAPER1
Z M_ZPAPER2
W M_ZPLANKS1
W M_ZPLANKS2
M M_ZPOLEWALL1
R M_ZPOLEWALL3
M M_ZPOLEWALL6
L M_ZRUBBLE1
W M_ZSIGN1
W M_ZTIMBER1
Z M_ZTUTOR1
Z M_ZTUTOR2
B M_ZWBRCK1
B M_ZWBRCK2
Y M_ZWINDOWS1
W M_ZWOODY1
M M4A2
T MACEL-BRICK
B MANIFESTO
R MAS_CLIFF5
R MAS_COBBLE2
R MAS_COBBLE4
R MAS_COBBLE5
W MAS_DOOR3
P MAS_GRASS1
P MAS_GRASSBLEND1
B MAS_RIVERWALL1
B MAS_RIVERWALL2
W MAS_SHUTTER1
Z MAS_STUCCO1
Z MAS_STUCCO10
Z MAS_STUCCO11
Z MAS_STUCCO12
Z MAS_STUCCO13
Z MAS_STUCCO14
Z MAS_STUCCO19
Z MAS_STUCCO2
Z MAS_STUCCO20
Z MAS_STUCCO21
Z MAS_STUCCO23
Z MAS_STUCCO3
Z MAS_STUCCO4
Z MAS_STUCCO5
Z MAS_STUCCO6
Z MAS_WALL
B MAS_WALL3
W MAS_WOODFLOOR4
W MDOOR1
W MDOOR2
F MEAT
W MELE
M MERIDIANA
M METAL_BORD01
M METAL_BORD08
M METAL_SDING1
M METALLO
W MK_CRATE1
B MK_REST
W MKX_CRATE1B2B
W MODI1
W MODI2
W MROOF2
L MRUBBLE
P MS_FD_STUMPHOLE
D MS_FDDIRT
P MS_GRASS
P MS_GRASSCRATER2
Z MURO2
W MWOOD1
W NAZI_CRATE_FD1
B OUITZ_BRICK1B
B OUITZ_BUILDING2
Z OUITZ_BUILDING4
Z OUITZ_STUCCO1
Z OUITZ_STUCCO1E
Z OUITZ_STUCCO9
W OUITZ_WOOD2
L OUT_GRAVEL3
P OUT_GROUND4
D OUT_GROUND9
P OUT_HAY2
A OUT_SNBAG
A OUT_SNBAG2
A OUT_SNBAGC
A OUT_SND2C
R OUT_W5
W PAINTING_1
G PFAB_VENT2
W PH_CRATE_SIDE
R PI_ARCHT32
R PI_ARCHT32B
B PI_OUTWALL3T
B PI_OUTWALL3TB
W PI_POTA
T PI_ROOF
T PI_ROOFEDGE
W PI_RUG1
W PI_RUG2
W PI_RUG4
W PI_RUG5
W PINEBARK
W POSTER5
W POSTER8
W PUREMILK
S PUREWATER
W RADIIO
M RADIOFRONT
M RADIOTOP
R REVENANT1_2
R ROCK_Y1_GRASS
R ROCK_YELLOW
B ROOF2
W ROPE
Y ROSONE
L RUB3
F SALAME
A SANDBAG5
W SBARRA
S SCROLLFALL1_MAS
S SCROLLFALL2_MAS
S SCROLLFALL3_MAS
Y SHOPWINDOW
W SIGN_BEACH
W SIGN_BIGGUN
W SIGN_FOREST_LEF
W SIGN_SURFACE
M SIGN10
M SIGN13
W SIGN5
M SIGNC1A2_1A
W SIGNC2A2_3C
Y SIGN-FRUTTA
K SKY
B SMOE_BRICK2
B SMOE_BRICK3
Z SMOE_CRETEWALL
R SMOE_RCKWALL
W SMOE_WDBX_PIMP
W SMOE_WDBX_SIDE
S SOUP
Z SPORKYBROKEN
W SQUAREROOF2
Y STAINED2
B STAL_BRIK07
W STAL_ROOF
W STAL_WOOD_OLD
B STONEWALL
B SW9
M TANKTRAK
R TEL_CLIFF
B TEL_EX02-1
Z TEL_EX02-2
B TEL_EX02-3
B TEL_EX02-4
Z TEL_EX02-5
B TEL_EX03-1
B TEL_EX03-2
R TEL_EX03-3
B TEL_EX03-4
Z TEL_EX04-1
Z TEL_EX04-2
Z TEL_EX04-3
R TEL_EX05-1
B TEL_EX05-2
Z TEL_EX06-1
B TEL_EX06-3
B TEL_EX08-1
Z TEL_EX08-2
B TEL_EX09-1
B TEL_EX09-2
Z TEL_EX09-3
D TEL_EX11-1
B TEL_EX12-1
B TEL_EX12-2
Z TEL_EX12-3
Z TEL_EXT01-1
R TEL_EXT01-2
B TEL_EXT01-3
W TEL_INT01-1
W TEL_INT01-2
W TEL_INT01-3
W TEL_INT02-1
M TEL_LIGHT
R TEL_OUTWALL
W TEL_ROOF-01
W TEL_ROOF-02
W TEL_ROOF-03
W TEL_ROOF-04
W TEL_ROOF-05
D TEL-DIRT01
W TEL-DOOR01
W TEL-DOOR02
W TEL-FENCE02
W TEL-FLOOR1
W TEL-FLOOR2
W TEL-FLOOR4
P TEL-GND01
R TEL-GND03
L TEL-GND05
W TEL-GND06
W TEL-THING02
T TETTO
B THUNDER_WALL1
Z THUNDER_WALL2
Z THUNDER_WALL3
R TNNL_FLR4C
R TNNL_W6
W TOL_BOXFILE_A
W TOL_BOXFILE_B
M TOL_ENIGMA_A
M TOL_ENIGMA_B
M TOL_ENIGMA_C
W TOL_OAKFLOOR_B
M TOL_RADIO_A
M TOL_RADIO_B
M TOL_RADIO_C
M TOL_RADIO_E
M TOL_RADIO_F
M TOL_RADIO_G
M TOL_RADIO_H
M TOL_RADIO_I
W TOL_WALLMAP_B
M TOMBINO
M TRK_PIPE
W TRRM_WOOD2
W W_CMD_SIGN
M W_FR_NO_12
M W_FR_NO_14
M W_FR_NO_19
M W_FR_NO_4
M W_FR_NO_49
M W_FR_NO_6
W WALDO
W WALL_RUINED
Z WALL38
Z WALLPAPER9
B WALLSTONE5
B WALLSTONE6
R WFLASH2_BOTTOM2
W WFLASH2_BOTTOM3
L WFLASH2_RUBBLE
R WFLASH2_WALL1
